Contract,Reentrancy,Integer,Access,TOD,DoS,Delegatecall,Unchecked Call,Timestamp,Frozen Ether
contracts/batch_04/original/batch04_contract_182.sol,"Mythril, Slither","Mythril, Osiris, Oyente",-,-,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_183.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_184.sol,Slither,"Mythril, Osiris",-,Mythril,-,-,-,Mythril,-
contracts/batch_04/original/batch04_contract_185.sol,Slither,"Osiris, Oyente",Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_186.sol,-,"Mythril, Oyente",Mythril,Mythril,-,-,Slither,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_187.sol,-,-,-,-,-,-,-,"Mythril, Oyente, Slither",-
contracts/batch_04/original/batch04_contract_188.sol,Slither,-,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_189.sol,Slither,-,Mythril,Mythril,-,-,-,-,-
contracts/batch_04/original/batch04_contract_190.sol,-,Oyente,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_191.sol,Slither,"Osiris, Oyente",-,-,-,-,-,"Mythril, Oyente, Slither",-
contracts/batch_04/original/batch04_contract_192.sol,-,"Osiris, Oyente",Mythril,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_193.sol,-,"Osiris, Oyente",-,-,-,-,-,"Oyente, Slither",-
contracts/batch_04/original/batch04_contract_194.sol,-,Mythril,-,-,-,-,-,-,Slither
contracts/batch_04/original/batch04_contract_195.sol,Slither,"Osiris, Oyente",-,Mythril,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_197.sol,Slither,Osiris,-,-,-,-,-,-,-
contracts/batch_04/original/batch04_contract_198.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",-
contracts/batch_04/original/batch04_contract_199.sol,Slither,-,-,-,-,-,-,"Mythril, Slither",Mythril
contracts/batch_04/original/batch04_contract_200.sol,Slither,"Osiris, Oyente",-,-,-,-,-,-,-
